burst_name,delta,sigma,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
weak,0.3,1.0,0.1,-4.440892098500626e-16,1.251521133114753,1.2556037781888318,1.571414663222052,12.515211331147539,10.000000000000005,1.999999999999986,0.10304226046979455,2.0608452093967937,15.836112530133425,8442
weak,0.3,1.0,0.16071428571428573,2.475797344914099e-14,1.1644003004650298,1.8362338378587142,2.1381112325267417,18.713576257473232,16.071428571428175,3.214285714285623,0.1284288229327429,2.5685764586562816,14.088709004125352,8442
weak,0.3,1.0,0.22142857142857142,5.290212712338871e-12,1.12437148969004,2.401981680951975,2.7007197208201585,24.89679727157632,22.142857142740002,4.428571428547974,0.15077058011411285,3.0154116022802806,12.405246389057632,8442
weak,0.3,1.0,0.28214285714285714,2.736740833952922e-10,1.1012811346886733,2.9590594163373,3.2587563116351452,31.07186057735543,28.21428570656419,5.642857141312848,0.17133848943399937,3.42676978868158,10.759034580571571,8442
weak,0.3,1.0,0.34285714285714286,5.81320169779076e-09,1.086280692318185,3.509761235063009,3.8125858642957735,37.24390923440284,34.28571408640452,6.857142817280872,0.19060193026259523,3.812038605252125,9.140216647204408,8442
weak,0.3,1.0,0.4035714285714286,6.70492720233895e-08,1.0759226625400231,4.05397942901333,4.3617683411465045,43.42116168400774,40.357140151225806,8.071428030245213,0.20853889900053638,4.170777980014509,7.5492550907397415,8442
weak,0.3,1.0,0.4642857142857143,5.025995529761573e-07,1.0687466504101144,4.588942762886353,4.904417206758525,49.620355258431545,46.428548093592184,9.285709618718416,0.2245826620156747,4.491653240313979,5.99805447895193,8442
weak,0.3,1.0,0.525,2.796433185570102e-06,1.0643060389152736,5.108065998403184,5.436545489278285,55.8759107893637,52.499853187257756,10.499970637451499,0.23738722561635525,4.747744512327481,4.514897624604665,8442
weak,0.3,1.0,0.5857142857142857,1.2928473216544667e-05,1.0629934903635656,5.599028322682637,5.951730659372877,62.26024235244077,58.570671332283034,11.714134266456574,0.24443774038310853,4.888754807662876,3.152673185497442,8442
weak,0.3,1.0,0.6464285714285714,5.505094368751795e-05,1.0664337492126925,6.042747014410798,6.444189354121912,68.93352943790846,64.63929849256877,12.927859698513693,0.24185622086356026,4.8371244172710375,1.9931596633517095,8442
weak,0.3,1.0,0.7071428571428571,0.00023336398709750128,1.0785816456315283,6.418934568123634,6.923345009687892,76.25333172022218,70.69778354662667,14.139556709325412,0.22561429956409002,4.512285991282155,1.1225429998283432,8442
weak,0.3,1.0,0.7678571428571428,0.000990919610463159,1.1071306842081405,6.720529956278595,7.440504928736026,84.9275805146035,76.70962581562515,15.341925163125106,0.19482888481111835,3.8965776962229084,0.5666682558408671,8442
weak,0.3,1.0,0.8285714285714285,0.003851379193524962,1.162355636182116,6.958343643253271,8.088069952227439,95.93854272061137,82.53802858110792,16.507605716221583,0.15381629261546645,3.0763258523091546,0.2622521388537957,8442
weak,0.3,1.0,0.8892857142857142,0.012171458962919934,1.249127644283724,7.144970502369606,8.924980172101643,109.73109309537394,87.84618097079746,17.569236194159377,0.11033505834795759,2.2067011669587915,0.11372758053387427,8442
weak,0.3,1.0,0.95,0.02965604039040226,1.3579863471636184,7.284689052355396,9.892508276430904,125.18281567423935,92.18267616291179,18.436535232582337,0.07220525961059837,1.444105192211891,0.04715431559517397,8442
medium,0.6,0.1,0.1,3.04867242562068e-13,1.2703316415560435,1.4394787196829735,1.8286153649598635,12.70331641555655,9.999999999996941,1.999999999999383,0.14066188456895606,2.8132376913797263,15.046100424051936,8442
