burst_name,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,0.1,0.01,0.7,0.2566288742311408,1.9328280809538265,5.078395782763466,9.815665975122716,100.57660105194073,52.03597880381965,10.407195760763917,0.44284206630729817,4.4284206630726395,4.721541509856145,8442
strong,0.9,0.01,0.1,0.019306977288832496,0.7,0.26511271403091774,1.9618736394988372,4.787025938917236,9.391540001158896,100.92291960419007,51.44211001783527,10.288422003567048,0.5949110793673371,3.081326871977083,6.035340045088532,8442
strong,0.9,0.01,0.1,0.0372759372031494,0.7,0.2718063599808389,1.9888856932544958,4.572026385397201,9.09323786709856,101.3805738787107,50.97355480134079,10.19471096026815,0.7532063694994515,2.020623560433973,7.0314591097984245,8442
strong,0.9,0.01,0.1,0.07196856730011521,0.7,0.2764926303250328,2.0137708451678535,4.443972038950621,8.949141328779902,101.98846331208608,50.64551587724722,10.129103175449435,0.9219624781918445,1.281062709428571,7.667871636930149,8442
strong,0.9,0.01,0.1,0.13894954943731375,0.7,0.27958569816586865,2.037679119323925,4.38798135979383,8.941297992834492,102.75812260768033,50.42900112838871,10.08580022567773,1.1069780191984948,0.7966762207443114,8.010545534379464,8442
strong,0.9,0.01,0.1,0.2682695795279725,0.7,0.28158974169402984,2.061144870948826,4.382214289764456,9.032378506746662,103.65233334010502,50.28871808141743,10.057743616283474,1.3056791164321244,0.48670412751585246,8.14987313976855,8442
strong,0.9,0.01,0.1,0.517947467923121,0.7,0.2828787194477729,2.0835762053247215,4.406586962864648,9.181459742518914,104.592378554342,50.19848963865542,10.039697927731059,1.5061020054165593,0.29078277213241466,8.163417294719967,8442
strong,0.9,0.01,0.1,1.0,0.7,0.28369770108699954,2.1035335814788616,4.443908028232646,9.347909770390883,105.4736158177794,50.14116092390955,10.028232184781906,1.6899064567824906,0.16899064567824493,8.11287071275736,8442
strong,0.9,0.01,0.1,1.9306977288832496,0.7,0.2842061981326294,2.119231382873853,4.479765811302384,9.49366029523736,106.18528820087344,50.10556613071547,10.021113226143079,1.8367120973094133,0.09513203801051487,8.047042638536993,8442
strong,0.9,0.01,0.1,3.727593720314938,0.7,0.2845109387922763,2.1298190338716405,4.505862075501367,9.596670812403188,106.67035547610027,50.08423428454018,10.016846856908028,1.9362993269001874,0.051945020626779435,7.994908795565005,8442
strong,0.9,0.01,0.1,7.196856730011514,0.7,0.28468772686769694,2.136049218433055,4.521488515234823,9.65812200912138,106.95595553718694,50.071859119260736,10.014371823852136,1.9948720687052957,0.027718657513167783,7.963037449929401,8442
strong,0.9,0.01,0.1,13.894954943731374,0.7,0.28478914974251346,2.139421723198776,4.529854596194177,9.691269326029643,107.10963407958232,50.06475951802358,10.012951903604694,2.0264242513563757,0.01458388501123231,7.946039960027697,8442
strong,0.9,0.01,0.1,26.826957952797247,0.7,0.2848479501619253,2.141193285174871,4.534153887603123,9.708499858085345,107.1895136894621,50.06064348866475,10.01212869773294,2.042863702590458,0.007614965909235254,7.937392633767367,8442
strong,0.9,0.01,0.1,51.794746792312075,0.7,0.28488258298332025,2.142121917682596,4.5363527608229655,9.717420675298829,107.23080848955861,50.058219191167105,10.011643838233411,2.0513895519041703,0.003960613148916123,7.9330059967135025,8442
