sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.0,0.1,0.1,0.005,0.7,10,5.0,4.150116888435029e-05,1.0788884400487588,6.129321561633335,6.612854178187812,75.51905654421807,69.99709491817809,13.999418983635474,0.45092812451403746,3.0865119417313105,2.463140950119178,92862
delta,0.06785714285714285,0.1,0.1,0.005,0.7,10,5.0,0.00013009671630637154,1.090692216434882,6.142376356822854,6.699442082800335,76.33852246713145,69.99089322985841,13.998178645971548,0.505674126370835,3.0552059128923807,2.440941314765237,92862
delta,0.1357142857142857,0.1,0.1,0.005,0.7,10,5.0,0.0006397738753672888,1.1193184636005225,6.18899105919856,6.927451963619503,78.3021647022507,69.95521582872436,13.991043165744744,0.5780822456448144,3.1530546262403805,2.277819962370062,92862
delta,0.20357142857142857,0.1,0.1,0.005,0.7,10,5.0,0.002379483770063473,1.1664090605747788,6.240081079010916,7.278487109279575,81.45435264021215,69.83343613609566,13.966687227218921,0.6547401012868685,3.2923596646954145,2.086213006798795,92862
delta,0.2714285714285714,0.1,0.1,0.005,0.7,10,5.0,0.006678411062220224,1.2318495564533125,6.274097423015776,7.728744127686856,85.65359311239543,69.53251122564473,13.906502245128861,0.7264458355971855,3.4239480984112527,1.9431038208627012,92862
delta,0.33928571428571425,0.1,0.1,0.005,0.7,10,5.0,0.01512297793718087,1.313159472834841,6.2818466356676765,8.249066416522686,90.53104137694139,68.9413915443975,13.78827830887945,0.7911274003692128,3.5475365582582605,1.8730577324930766,92862
delta,0.40714285714285714,0.1,0.1,0.005,0.7,10,5.0,0.02912899658191459,1.4042189590853205,6.262467484651934,8.793875572603604,95.4320828878108,67.96097023926617,13.592194047853196,0.8515398884992158,3.6877511182427907,1.868514945404797,92862
delta,0.475,0.1,0.1,0.005,0.7,10,5.0,0.0492147877068535,1.495567451488597,6.219370800961631,9.30148853865678,99.53743918036176,66.55496486052049,13.310992972104069,0.9117251702752072,3.865069213743064,1.9122126438776603,92862
delta,0.5428571428571428,0.1,0.1,0.005,0.7,10,5.0,0.07453742227763027,1.5794100611285777,6.158230942671283,9.72637190960835,102.3179434516893,64.78238044056611,12.956476088113218,0.974167047287011,4.080836465696335,1.988520398903435,92862
delta,0.6107142857142857,0.1,0.1,0.005,0.7,10,5.0,0.10352990321471456,1.653811355407013,6.084996182631268,10.063435784443918,103.78146980924348,62.75290677497025,12.550581354994007,1.039241864703187,4.324230227181934,2.0859465531208725,92862
