sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.0,0.1,0.1,0.005,0.7,10,1.0,6.599571918508573e-06,1.0519687205293429,6.235387648619215,6.559432766722423,73.63732445902811,69.9995380299657,13.999907605993014,0.19880402536108333,3.9760805072198053,1.8252078614260974,92862
delta,0.06785714285714285,0.1,0.1,0.005,0.7,10,1.0,2.1632605479382505e-05,1.0558850205256483,6.2625394389904745,6.612521584081139,73.91035252870958,69.9984857176163,13.999697143523134,0.20437529552904443,4.087505910578741,1.7084216503690808,92862
delta,0.1357142857142857,0.1,0.1,0.005,0.7,10,1.0,0.00011034449815017222,1.0678722321247445,6.325185699638378,6.754490171676348,74.74280788094423,69.99227588512956,13.998455177025784,0.21728785127289232,4.3457570254563285,1.4384999462449954,92862
delta,0.20357142857142857,0.1,0.1,0.005,0.7,10,1.0,0.00045240675374358386,1.0898229148625513,6.390868758872423,6.964915219298359,76.25309101308392,69.96833152723805,13.99366630544742,0.23109455522404218,4.621891104478814,1.1533480348497243,92862
delta,0.2714285714285714,0.1,0.1,0.005,0.7,10,1.0,0.0015469930220121109,1.1262461907957173,6.4405536596721635,7.253649025821191,78.71527270582436,69.8917104884593,13.978342097691815,0.24243854987830388,4.848770997565254,0.9304483548646267,92862
delta,0.33928571428571425,0.1,0.1,0.005,0.7,10,1.0,0.004554759631378524,1.1822287932799656,6.468319399514943,7.647033438237942,82.37908177080985,69.68116682580367,13.936233365160692,0.251358373989183,5.027167479783382,0.7852407810667419,92862
delta,0.40714285714285714,0.1,0.1,0.005,0.7,10,1.0,0.011439852854551957,1.2578303039545995,6.473261852256448,8.142264923201441,87.04086372529562,69.19921030018156,13.839842060036279,0.25978428364112616,5.195685672822214,0.7046879835003805,92862
delta,0.475,0.1,0.1,0.005,0.7,10,1.0,0.02405309653094312,1.3436311249743615,6.456218804178745,8.674776534939314,91.79188450763647,68.31628324283422,13.663256648566799,0.2698808793942961,5.397617587885581,0.6692448841533238,92862
delta,0.5428571428571428,0.1,0.1,0.005,0.7,10,1.0,0.04262587030648024,1.4265299433889829,6.420588049629188,9.159161106961506,95.6006004123645,67.01618907854663,13.403237815709325,0.28259250608232983,5.651850121646373,0.6623195565619726,92862
delta,0.6107142857142857,0.1,0.1,0.005,0.7,10,1.0,0.06584097527836297,1.499526934022867,6.37165940630482,9.554474894174227,98.05576327614438,65.39113173051487,13.078226346102918,0.29758290430693957,5.951658086138102,0.6725326634520403,92862
delta,0.6785714285714285,0.1,0.1,0.005,0.7,10,1.0,0.09212226440776994,1.5625896366040077,6.3142017940383015,9.866506286790683,99.30482386579574,63.551441491456416,12.710288298291308,0.31413037511136466,6.2826075022269166,0.6929738243704104,92862
delta,0.7464285714285713,0.1,0.1,0.005,0.7,10,1.0,0.1203322139060693,1.618427843619832,6.251413729329822,10.117462041534676,99.65751867048876,61.57674502657547,12.315349005315092,0.33166428867156184,6.633285773430858,0.7197009325824881,92862
delta,0.8142857142857143,0.1,0.1,0.005,0.7,10,1.0,0.14977747063832303,1.6698352650284178,6.185205900251288,10.328274933701442,99.381209385485,59.5155770553173,11.903115411063446,0.3498288714210936,6.996577428421507,0.7504782890939525,92862
delta,0.8821428571428571,0.1,0.1,0.005,0.7,10,1.0,0.1800474149507505,1.7189982356710383,6.116706486555526,10.514607658506545,98.66479329234954,57.39668095344739,11.47933619068944,0.3684127358616129,7.368254717231689,0.7839963562172594,92862
delta,0.95,0.1,0.1,0.005,0.7,10,1.0,0.2108923345822461,1.7675519564404667,6.046600745404715,10.687680977354487,97.63521584959244,55.23753657924279,11.04750731584855,0.38728716028104443,7.745743205620467,0.8194623182499381,92862
delta,0.0,0.1,1.0,0.005,0.7,10,100.0,5.181361522055283e-07,1.067843829362439,6.024004931041257,6.432696493661312,74.74902932517624,69.99996373046935,13.999992746093767,0.4248759543524281,2.6621220856051577,2.913009213948647,92862
delta,0.06785714285714285,0.1,1.0,0.005,0.7,10,100.0,1.6877399726666908e-06,1.071159268949071,5.986935419426365,6.4129613671180445,74.98102227775274,69.99988185820177,13.999976371640257,0.4505446694296027,2.4550442328710735,3.0944347260590677,92862
delta,0.1357142857142857,0.1,1.0,0.005,0.7,10,100.0,1.4424125996836956e-05,1.0805879930329185,5.948999059201859,6.428416953937657,75.64006845468901,69.9989903111803,13.999798062235937,0.47394965474656087,2.248166536211058,3.2780857468064433,92862
delta,0.20357142857142857,0.1,1.0,0.005,0.7,10,100.0,0.00010413966198119518,1.0996212470929898,5.904823716541999,6.493069619048176,76.96547130356083,69.99271022366142,13.998542044732,0.4943676689676449,2.0204067697980665,3.4866835165022882,92862
delta,0.2714285714285714,0.1,1.0,0.005,0.7,10,100.0,0.000594287961361073,1.1348619722272322,5.853598247940319,6.643026052283421,79.39312761935334,69.95839984270486,13.991679968540877,0.5114887778966782,1.7762330560789026,3.7205981974835414,92862
