sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
sigma,0.6,0.001,0.1,0.005,0.7,10,5.0,0.09017784583004651,1.6415826536952742,5.162037750682969,8.473911629241332,104.54837863635275,63.687550791920096,12.737510158384046,0.2899031795554588,1.170234604165441,5.802352057895054,92862
sigma,0.6,0.0014677992676220691,0.1,0.005,0.7,10,5.0,0.09167855669856573,1.6452146666421654,5.178138625113547,8.519149611943105,104.60686323816915,63.582501031107796,12.7165002062216,0.30868260449014834,1.2453250702260106,5.729492119062241,92862
sigma,0.6,0.0021544346900318843,0.1,0.005,0.7,10,5.0,0.0937622820983397,1.650288421592847,5.201026624709415,8.583194019154073,104.6887529144501,63.43664025310512,12.68732805062104,0.3351635231157645,1.3512697608731432,5.626238665390051,92862
sigma,0.6,0.0031622776601683794,0.1,0.005,0.7,10,5.0,0.09658239533076729,1.6572135753270658,5.2331125894470825,8.672385224446678,104.80091430532876,63.23923232685647,12.647846465371288,0.3718485098800732,1.4981633449123024,5.482141679836337,92862
sigma,0.6,0.004641588833612777,0.1,0.005,0.7,10,5.0,0.10025920826482093,1.6663467449856437,5.277229845463658,8.793694775529458,104.9496097747202,62.98185542146835,12.596371084293683,0.4214177436769801,1.696905872312573,5.285305299716764,92862
sigma,0.6,0.006812920690579608,0.1,0.005,0.7,10,5.0,0.10479725414445962,1.6777893731437201,5.336311890678499,8.953207381960858,105.13731576637804,62.6641922098835,12.53283844197666,0.4861217461388295,1.9568560346775439,5.024183777206967,92862
sigma,0.6,0.01,0.1,0.005,0.7,10,5.0,0.10995712067738439,1.691039588500811,5.412726055102045,9.15313404088738,105.35684210785044,62.30300155258602,12.460600310517188,0.5667096392291195,2.2816730508556633,4.691016999398029,92862
sigma,0.6,0.01467799267622069,0.1,0.005,0.7,10,5.0,0.11511060627928515,1.7045275429291122,5.507267009568087,9.387288304073651,105.58228408299308,61.942257560448255,12.388451512089604,0.6610147176711704,2.6638327238267623,4.286701046412463,92862
sigma,0.6,0.021544346900318832,0.1,0.005,0.7,10,5.0,0.119165218094623,1.7152222269328172,5.618084288688648,9.636263044740815,105.75791773257605,61.6584347333778,12.331686946675584,0.7627718077771718,3.080082655945798,3.825458589601446,92862
sigma,0.6,0.03162277660168379,0.1,0.005,0.7,10,5.0,0.12068122388756897,1.7186862280930462,5.740145384409792,9.865508819436974,105.78911494256396,61.55231432786971,12.310462865574,0.8616579255103569,3.4917256652742874,3.336153543641356,92862
sigma,0.6,0.046415888336127774,0.1,0.005,0.7,10,5.0,0.11823911892678496,1.7099370378319088,5.865887334839664,10.030298013591446,105.54289123408716,61.72326167512509,12.344652335025039,0.9453249534757572,3.8526946198784313,2.8573280916207726,92862
sigma,0.6,0.06812920690579612,0.1,0.005,0.7,10,5.0,0.11093636176085742,1.6850255133007777,5.9871193028352,10.088448776452877,104.86664393666709,62.234454676739574,12.446890935347927,1.002993238689602,4.123587473981642,2.4265283519808287,92862
sigma,0.6,0.1,0.1,0.005,0.7,10,5.0,0.09876976715302321,1.6426239282679793,6.09715759289147,10.015336956504324,103.6267641747081,63.08611629928864,12.617223259857704,1.0288127324472625,4.284452100752915,2.069511906942118,92862
sigma,0.6,0.1467799267622069,0.1,0.005,0.7,10,5.0,0.08274965622277641,1.5847784854473401,6.191714324165331,9.812495648973334,101.75470274111245,64.20752406440566,12.841504812881116,1.0231839682569008,4.3391875287385,1.7961236901234834,92862
sigma,0.6,0.21544346900318823,0.1,0.005,0.7,10,5.0,0.06473119641723568,1.5164403693522357,6.268248268452762,9.505424719404019,99.27955589640676,65.46881625079338,13.093763250158704,0.9917105279826774,4.310476786651622,1.6040494352069974,92862
sigma,0.6,0.31622776601683794,0.1,0.005,0.7,10,5.0,0.04696710735996401,1.4439879659412787,6.3250578087710965,9.133307359748377,96.33176196828921,66.71230248480246,13.342460496960513,0.942756478994223,4.229400190398582,1.4853828336466819,92862
sigma,0.6,0.46415888336127775,0.1,0.005,0.7,10,5.0,0.03146810332063332,1.373448963502654,6.361208520716763,8.73679524940269,93.11603907294757,67.79723276755571,13.559446553511112,0.8847926974402593,4.124614106885413,1.431146642163216,92862
