sweep_var,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
sigma,0.6,0.001,0.1,0.005,0.7,10,1.0,0.08952857192135144,1.6262199097527756,5.314125727357596,8.641937060758373,103.64387345221584,63.73299996552877,12.74659999310575,0.1067280710409879,2.134561420818953,5.012110515034308,92862
sigma,0.6,0.0019306977288832496,0.1,0.005,0.7,10,1.0,0.09143219835984162,1.6306211107882014,5.421399804201076,8.840248970753295,103.70708865559635,63.59974611482059,12.719949222964097,0.13072571277346157,2.614514255467795,4.534810808794647,92862
sigma,0.6,0.003727593720314938,0.1,0.005,0.7,10,1.0,0.0938066517200058,1.6360519832104226,5.582704722883281,9.133595133551385,103.78055972377754,63.43353437959171,12.686706875918345,0.16628475976127507,3.325695195225179,3.8213131690952005,92862
sigma,0.6,0.0071968567300115215,0.1,0.005,0.7,10,1.0,0.09561631766442302,1.6395518153190698,5.78748883184259,9.488887820386362,103.79487356827804,63.30685776349113,12.661371552698267,0.2101311353424985,4.202622706850647,2.9258746051085875,92862
sigma,0.6,0.013894954943731374,0.1,0.005,0.7,10,1.0,0.09495392754165044,1.6346448891085548,5.995827072767376,9.801048080477898,103.56002557262363,63.353225072082516,12.670645014416456,0.25204244911700663,5.040848982339776,2.036463554126761,92862
sigma,0.6,0.026826957952797246,0.1,0.005,0.7,10,1.0,0.08987112828822785,1.612591538507224,6.166344487119048,9.943794943448845,102.7366282231457,63.709021019823155,12.74180420396467,0.28145542572073134,5.629108514415356,1.3476318558992437,92862
sigma,0.6,0.0517947467923121,0.1,0.005,0.7,10,1.0,0.0789699864752137,1.5651521590628885,6.289960706522676,9.844745580234697,100.90864799610206,64.47210094673454,12.8944201893469,0.2950068137282345,5.900136274564639,0.9104367223602265,92862
sigma,0.6,0.1,0.1,0.005,0.7,10,1.0,0.06193512932298051,1.488713983454923,6.380056423509022,9.498079212909285,97.75572032553032,65.66454094739164,13.132908189478336,0.2950945840877527,5.901891681754545,0.670105544679366,92862
sigma,0.6,0.19306977288832497,0.1,0.005,0.7,10,1.0,0.04110452000282849,1.3902066933451869,6.446873979375054,8.96248735728012,93.314404015736,67.12268359980204,13.424536719960322,0.2863320600941458,5.726641201882083,0.5624900180634489,92862
sigma,0.6,0.3727593720314938,0.1,0.005,0.7,10,1.0,0.02181319898665479,1.2875638864294476,6.488595711710417,8.354481512039312,88.16345994167108,68.47307607093407,13.6946152141868,0.2740927879716603,5.481855759432592,0.5494362384089477,92862
sigma,0.6,0.7196856730011514,0.1,0.005,0.7,10,1.0,0.008882533834627893,1.199672824008264,6.498687442541038,7.7962987165402495,83.2311682690969,69.37822263157607,13.875644526315178,0.262232159144539,5.244643182890465,0.6174801316498177,92862
sigma,0.6,1.3894954943731375,0.1,0.005,0.7,10,1.0,0.002777123866927189,1.1362797513044907,6.47687853466576,7.3595459305994035,79.31869131813455,69.80560132931507,13.96112026586302,0.25119514072079185,5.023902814415568,0.7637817790006203,92862
sigma,0.6,2.6826957952797246,0.1,0.005,0.7,10,1.0,0.0007193110651487755,1.0968508620655613,6.431819313838727,7.054746559033934,76.72433195725617,69.94964822543959,13.989929645087978,0.23976020939708015,4.795204187941894,0.9751059575730476,92862
sigma,0.6,5.179474679231207,0.1,0.005,0.7,10,1.0,0.00018253223923636597,1.0749929704383026,6.377470839220518,6.855736321337319,75.23577246949715,69.98722274325345,13.997444548650746,0.22806279340119393,4.56125586802414,1.2132367899239203,92862
sigma,0.6,10.0,0.1,0.005,0.7,10,1.0,5.57965924120607e-05,1.0636612935436445,6.327697386161924,6.73052678691773,74.4521361407589,69.99609423853116,13.999218847706192,0.21774298219658103,4.354859643930883,1.4281785261663433,92862
sigma,0.6,0.001,1.0,0.005,0.7,10,100.0,0.08639462141924237,1.6329109812030613,5.027414232564158,8.209319907410576,104.42853786198724,63.95237650067648,12.790475300135306,0.26041247411357193,0.5343433480595849,6.414768877691538,92862
sigma,0.6,0.0019306977288832496,1.0,0.005,0.7,10,100.0,0.0861188201513644,1.6320821770020595,5.032608819230442,8.213631157689385,104.40704298701563,63.97168258941405,12.794336517882758,0.26490811605402936,0.543442123530013,6.397313242533199,92862
