sweep_var,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
delta,0.0,0.1,0.1,0.005,0.7,6.599571916288127e-06,1.0519687205293415,6.235387648619215,6.559432766722415,73.63732445902818,69.99953802996586,13.999907605993013,0.19880402536108313,3.976080507219809,1.8252078614260954,8442
delta,0.06785714285714285,0.1,0.1,0.005,0.7,2.1632605479937617e-05,1.0558850205256505,6.26253943899047,6.612521584081148,73.9103525287097,69.99848571761626,13.999697143523134,0.20437529552904704,4.087505910578718,1.7084216503691005,8442
delta,0.1357142857142857,0.1,0.1,0.005,0.7,0.00011034449815217062,1.0678722321247465,6.325185699638345,6.754490171676325,74.74280788094421,69.99227588512942,13.998455177025713,0.2172878512729039,4.34575702545628,1.4384999462451034,8442
delta,0.20357142857142857,0.1,0.1,0.005,0.7,0.0004524067537506893,1.0898229148625846,6.390868758872362,6.964915219298506,76.25309101308571,69.96833152723755,13.993666305447286,0.23109455522404457,4.621891104478759,1.1533480348499103,8442
delta,0.2714285714285714,0.1,0.1,0.005,0.7,0.0015469930221015948,1.126246190796255,6.440553659671425,7.253649025823822,78.7152727058549,69.89171048845303,13.978342097690495,0.242438549878256,4.848770997564263,0.9304483548669855,8442
delta,0.33928571428571425,0.1,0.1,0.005,0.7,0.004554759632974026,1.1822287932878792,6.468319399502033,7.647033438273868,82.37908177122924,69.68116682569199,13.936233365138305,0.2513583739882738,5.027167479764982,0.7852407811084392,8442
delta,0.40714285714285714,0.1,0.1,0.005,0.7,0.011439852875330003,1.257830304043208,6.47326185208703,8.142264923561928,87.04086372959779,69.1992102987271,13.839842059745362,0.2597842836288391,5.195685672576553,0.7046879840492466,8442
delta,0.475,0.1,0.1,0.005,0.7,0.024053096708660848,1.3436311256431372,6.456218802720514,8.674776537297753,91.79188453660964,68.31628323039398,13.66325664607876,0.2698808792873371,5.397617585746444,0.6692448888874585,8442
delta,0.5428571428571428,0.1,0.1,0.005,0.7,0.04262587126567108,1.4265299466762795,6.420588041711724,9.159161116773385,95.60060053688457,67.01618901140327,13.403237802280632,0.282592505495443,5.651850109908667,0.6623195823152583,8442
delta,0.6107142857142857,0.1,0.1,0.005,0.7,0.06584097880785811,1.499526945392422,6.371659376999992,9.554474922673782,98.05576364913233,65.39113148345021,13.07822629668995,0.2975829021123545,5.951658042246493,0.672532758951203,8442
delta,0.6785714285714285,0.1,0.1,0.005,0.7,0.09212227444956567,1.5625896678235995,6.314201710149778,9.866506352834145,99.30482475146135,63.55144078853071,12.710288157706175,0.3141303687625149,6.282607375250806,0.6929740982805036,8442
delta,0.7464285714285713,0.1,0.1,0.005,0.7,0.12033223825942829,1.618427918187723,6.251413524563322,10.117462176289594,99.65752050314585,61.57674332184035,12.315348664368033,0.33166427300436363,6.633285460086747,0.7197016025408564,8442
delta,0.8142857142857143,0.1,0.1,0.005,0.7,0.14977752381433596,1.6698354278673648,6.18520545008744,10.328275189194317,99.38121286127557,59.5155733329964,11.90311466659924,0.3498288365869625,6.9965767317388,0.7504797650749969,8442
delta,0.8821428571428571,0.1,0.1,0.005,0.7,0.18004752251781486,1.7189985691154255,6.11670556903883,10.514608120878103,98.66479948741657,57.39667342375288,11.479334684750533,0.3684126639850893,7.3682532797010944,0.7839993715632829,8442
delta,0.95,0.1,0.1,0.005,0.7,0.21089254019780956,1.7675526081394268,6.046598973280642,10.68768178559538,97.63522640729482,55.237522186153356,11.047504437230666,0.3872870191480665,7.745740382960822,0.8194681606604458,8442
delta,0.0,0.1,1.0,0.005,0.7,8.163167442010177e-08,1.0341871771277893,6.457169257965992,6.677921647132191,72.39309648937508,69.99999428578279,13.99999885715642,0.026233364963858287,5.246672992770937,0.7270947851087847,8442
