sweep_var,delta,sigma,alpha,beta,rho,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
sigma,0.6,0.001,0.1,0.005,0.7,0.08953270253359646,1.6262301376750137,5.314102600971323,8.641953804396742,103.64405509555509,63.73271082267161,12.746542164534327,0.10672778788356273,2.134555757669933,5.012174289912177,8442
sigma,0.6,0.0014677992676220691,0.1,0.005,0.7,0.0905621813405727,1.6286096076462457,5.370452216670959,8.746370077475401,103.6783418318032,63.66064730616732,12.732129461233459,0.11936522438513184,2.387304487703606,4.761200826677803,8442
sigma,0.6,0.0021544346900318843,0.1,0.005,0.7,0.09181685900091785,1.6315111865413117,5.444411690760316,8.882618577611753,103.71976677775781,63.57281986992463,12.714563973984902,0.135848045890527,2.7169609178127927,4.432627062311778,8442
sigma,0.6,0.0031622776601683794,0.1,0.005,0.7,0.09321471695473571,1.634720072567569,5.537308553961446,9.051949441160875,103.76380725922377,63.47496981317872,12.6949939626357,0.15635952892130672,3.1271905784254623,4.021455930017531,8442
sigma,0.6,0.004641588833612777,0.1,0.005,0.7,0.09456158034361706,1.6376997428357063,5.647546636007603,9.24898567344231,103.79853869174745,63.38068937595266,12.67613787519054,0.18036399597630234,3.607279919527168,3.5362182093059906,8442
sigma,0.6,0.006812920690579608,0.1,0.005,0.7,0.0955369507032463,1.6394867537970315,5.769557151860671,9.459112525750498,103.79986320345577,63.31241345076839,12.66248269015362,0.20637695745210116,4.127539149041049,3.003601203353229,8442
sigma,0.6,0.01,0.1,0.005,0.7,0.09573113422569235,1.6386852229263078,5.894289475730266,9.658885063529242,103.72684195277321,63.2988206042045,12.659764120840874,0.23210550511620667,4.6421101023233655,2.4660202717195534,8442
sigma,0.6,0.01467799267622069,0.1,0.005,0.7,0.09472524543407901,1.6335943467013576,6.01183817250781,9.820904851892179,103.51962048892135,63.36923281961264,12.67384656392245,0.25507194355764073,5.101438871152036,1.9696426213678742,8442
sigma,0.6,0.021544346900318832,0.1,0.005,0.7,0.09215683762641813,1.6224036164017974,6.115000092133098,9.920998263774063,103.1021620832404,63.54902136615219,12.709804273230478,0.2734122276315348,5.468244552631338,1.5485389465066486,8442
sigma,0.6,0.03162277660168379,0.1,0.005,0.7,0.08773159774117345,1.6033770009418589,6.201272240478688,9.942977286962721,102.38971224074373,63.85878815811738,12.771757631623503,0.2862973083962563,5.725946167925862,1.2159988920543787,8442
sigma,0.6,0.046415888336127774,0.1,0.005,0.7,0.08122726551422654,1.5750749953246477,6.272113528774203,9.879049187009688,101.2995172332216,64.31409141400418,12.862818282800824,0.29378631244844794,5.875726248968836,0.9676691557818926,8442
sigma,0.6,0.06812920690579612,0.1,0.005,0.7,0.07256279991590753,1.5367255722878024,6.330721840860408,9.7285821438911,99.76515234421504,64.92060400588605,12.984120801177232,0.29644623118941626,5.9289246237884825,0.7905083438448692,8442
sigma,0.6,0.1,0.1,0.005,0.7,0.06193513225496228,1.4887139929742215,6.380056399188043,9.498079237435965,97.75572064506892,65.66454074215292,13.13290814843054,0.2950945822693576,5.901891645386709,0.6701056239133936,8442
sigma,0.6,0.1467799267622069,0.1,0.005,0.7,0.04994790546333061,1.432953806879898,6.421735555384625,9.202050410864395,95.2966535920379,66.50364661756687,13.300729323513325,0.29071254697060456,5.814250939412017,0.5943071901040534,8442
sigma,0.6,0.21544346900318823,0.1,0.005,0.7,0.037617518461570465,1.372815598127351,6.455757573801326,8.862564695043243,92.48215774143227,67.36677370768994,13.473354741537932,0.2843943536435787,5.687887072871703,0.5543638319467861,8442
sigma,0.6,0.31622776601683794,0.1,0.005,0.7,0.026169960791235458,1.3124712316945049,6.480917179821138,8.506017353509925,89.46867377150039,68.16810274461346,13.633620548922696,0.2772137073242645,5.5442741464856535,0.5448915972673858,8442
sigma,0.6,0.46415888336127775,0.1,0.005,0.7,0.016669835200307737,1.2559096602390243,6.495686339674812,8.157995223880265,86.44816972234563,68.8331115359785,13.766622307195696,0.2700044774508104,5.400089549015989,0.5632836663375047,8442
sigma,0.6,0.6812920690579608,0.1,0.005,0.7,0.009674171634129314,1.2061200116848507,6.49912597860204,7.8387259012528085,83.61162597763173,69.32280798561094,13.86456159712218,0.26317441380187045,5.263488276037804,0.6087757130381463,8442
sigma,0.6,1.0,0.1,0.005,0.7,0.005120178379339424,1.1647450753986468,6.491407967576019,7.560835462637707,81.1146960992304,69.64158751344624,13.928317502689161,0.25669105822221433,5.133821164443855,0.6811702746447692,8442
sigma,0.6,1.467799267622069,0.1,0.005,0.7,0.002495033665209534,1.132143728584586,6.473841484332748,7.329319036338048,79.05232943075383,69.82534764343535,13.965069528687046,0.2502699904121449,5.005399808242612,0.7792606726581971,8442
sigma,0.6,2.154434690031882,0.1,0.005,0.7,0.0011423659469648184,1.1076677380622668,6.44861836632127,7.142926519449872,77.44816633104267,69.92003438371243,13.98400687674233,0.24365278447784786,4.873055689556658,0.8992846492231649,8442
sigma,0.6,3.1622776601683795,0.1,0.005,0.7,0.0005073315641305198,1.0900365822616453,6.418510340216108,6.996411074460197,76.26385006081847,69.96448679051085,13.992897358102116,0.23680899383294107,4.736179876658177,1.0341137714067656,8442
sigma,0.6,4.6415888336127775,0.1,0.005,0.7,0.0002276563244674179,1.077734741935739,6.386538411525973,6.882994326808629,75.42425721639475,69.9840640572873,13.996812811457467,0.2299665552329089,4.5993311046586065,1.1738895286510178,8442
sigma,0.6,6.812920690579608,0.1,0.005,0.7,0.00010777407679829487,1.0693325835537633,6.355538795062183,6.796184719600016,74.84521360552465,69.99245581462414,13.998491162924827,0.2234951301881275,4.469902603762499,1.3081111031245465,8442
sigma,0.6,10.0,0.1,0.005,0.7,5.579659241228274e-05,1.0636612935436507,6.327697386161923,6.730526786917768,74.45213614075931,69.99609423853114,13.99921884770617,0.21774298219657184,4.354859643930927,1.4281785261663322,8442
sigma,0.6,0.001,1.0,0.005,0.7,0.0863113563191189,1.6131450741796023,5.400015415839449,8.711008268555323,103.17386344217368,63.95820505768513,12.791641011536992,0.0129823642879306,2.5964728575846,4.598903766590477,8442
sigma,0.6,0.0014677992676220691,1.0,0.005,0.7,0.08612124789959963,1.6123668650248018,5.4469944503586465,8.782553365732264,103.14554729759503,63.97151264703547,12.794302529407082,0.013993020231690526,2.798604046338728,4.3931004040225,8442
sigma,0.6,0.0021544346900318843,1.0,0.005,0.7,0.08583059358509038,1.6111481022787875,5.509932301615889,8.87731697143303,103.10036130145147,63.99185844903248,12.798371689806507,0.015342835487600726,3.0685670975220756,4.1177183771838175,8442
sigma,0.6,0.0031622776601683794,1.0,0.005,0.7,0.0853836221518306,1.6092228647176217,5.59110541414681,8.997334671491535,103.0275111375106,64.02314644938217,12.804629289876384,0.01707539599519953,3.4150791990390075,3.7632161150894086,8442
sigma,0.6,0.004641588833612777,1.0,0.005,0.7,0.08469527817555278,1.6061743011971312,5.690600108165808,9.140095652125536,102.90972453712664,64.07133052771722,12.814266105543451,0.01918275804637326,3.8365516092757845,3.329999527134391,8442
sigma,0.6,0.006812920690579608,1.0,0.005,0.7,0.08364126911559389,1.601380533113411,5.804841306676218,9.295759866323912,102.72073230906884,64.145111161904,12.829022232380723,0.021571956477066383,4.314391295412286,2.8350145157299247,8442
sigma,0.6,0.01,1.0,0.005,0.7,0.08205081835742434,1.5939763504030875,5.926103387738435,9.446068650098683,102.42325004871415,64.25644271498331,12.851288542996588,0.02405341415959613,4.8106828319186015,2.313975210925214,8442
sigma,0.6,0.01467799267622069,1.0,0.005,0.7,0.07970619540947443,1.5828538334504487,6.044226390758419,9.567126912854333,101.96834035477387,64.42056632133493,12.884113264266896,0.026378611787849768,5.275722357569354,1.813785766375901,8442
sigma,0.6,0.021544346900318832,1.0,0.005,0.7,0.07635182074192215,1.566712752757505,6.150316799769362,9.635779763697386,101.29639670534398,64.65537254806694,12.931074509613437,0.028322488703786,5.6644977407577235,1.376105260925054,8442
sigma,0.6,0.03162277660168379,1.0,0.005,0.7,0.07171736165334108,1.5441686306937972,6.239948768631416,9.63553314565702,100.33974513868024,64.97978468426564,12.995956936853148,0.0297564816730905,5.9512963346185135,1.0229902468552485,8442
sigma,0.6,0.046415888336127774,1.0,0.005,0.7,0.065567731825102,1.5139610696712473,6.313440730022753,9.558303480931269,99.02858533829794,65.4102587722429,13.082051754448578,0.030660390133842585,6.13207802676851,0.7552098286490693,8442
sigma,0.6,0.06812920690579612,1.0,0.005,0.7,0.05779566395763669,1.4753206588275434,6.373708357916265,9.403263613775644,97.3037465260125,65.954303522965,13.19086070459299,0.03108589278318874,6.217178556637627,0.5608748459861932,8442
sigma,0.6,0.1,1.0,0.005,0.7,0.048549844852066926,1.4284574190968067,6.4239294152071755,9.1763096329069,95.13742231153151,66.6015108603556,13.320302172071115,0.03112004385128341,6.2240087702567175,0.4245690138208845,8442
sigma,0.6,0.1467799267622069,1.0,0.005,0.7,0.03834469200819712,1.3749597144842194,6.4662163514180655,8.890786988338974,92.55661153960506,67.31587155942621,13.463174311885192,0.030868796732098924,6.173759346419744,0.3321975449629652,8442
sigma,0.6,0.21544346900318823,1.0,0.005,0.7,0.02805672153655081,1.3177987864499692,6.501276660514254,8.567374493601191,89.65779710001348,68.03602949244132,13.607205898488251,0.030449118025018464,6.089823605003789,0.2725213784829409,8442
sigma,0.6,0.31622776601683794,1.0,0.005,0.7,0.01873243273328762,1.260785768099981,6.528797229337108,8.231414629558813,86.60177284555725,68.68872970866981,13.737745941733959,0.02997520771423029,5.995041542846154,0.2372373077056567,8442
sigma,0.6,0.46415888336127775,1.0,0.005,0.7,0.011247802502557525,1.207687909522896,6.54824731707583,7.908239113398222,83.58728521022996,69.21265382482102,13.842530764964165,0.029536752220084894,5.907350444016956,0.22058203879879446,8442
sigma,0.6,0.6812920690579608,1.0,0.005,0.7,0.005998654482433086,1.1614366992247944,6.559641703009181,7.618608607640292,80.8128749234049,69.58009418622967,13.91601883724601,0.02917987418403644,5.835974836807421,0.21882645176253213,8442
sigma,0.6,1.0,1.0,0.005,0.7,0.0028185093618429136,1.1237057088160418,6.563828288356911,7.375811319314889,78.43769736290513,69.802704344671,13.960540868934153,0.02890394935846036,5.780789871692,0.22976531001538675,8442
sigma,0.6,1.467799267622069,1.0,0.005,0.7,0.0011660133807875894,1.0948449209468183,6.562212946676066,7.184605514839745,76.54978219833751,69.91837906334489,13.983675812668944,0.028677244451388553,5.7354488902776914,0.2521980526019765,8442
sigma,0.6,2.154434690031882,1.0,0.005,0.7,0.0004293467891299807,1.074077646574624,6.556253277691115,7.041925090849638,75.15315463500534,69.96994572476088,13.993989144952103,0.02846101008036803,5.692202016073582,0.2853478288939476,8442
sigma,0.6,3.1622776601683795,1.0,0.005,0.7,0.00014438205057620834,1.0599084527782783,6.547154344427337,6.9393842313025615,74.182879471571,69.98989325645965,13.997978651291787,0.02822803417789267,5.645606835578342,0.3281864789519784,8442
sigma,0.6,4.6415888336127775,1.0,0.005,0.7,4.62417148493488e-05,1.0506241396641454,6.535910651086751,6.866785504719742,73.54028899015857,69.99676307996056,13.999352615992098,0.027969530085915715,5.593906017183272,0.37877183673871384,8442
sigma,0.6,6.812920690579608,1.0,0.005,0.7,1.4903027279244974e-05,1.044692087664603,6.5234967057772035,6.815045392431548,73.12735630129457,69.99895678809047,13.999791357618035,0.02769303165721369,5.538606331442701,0.43390927928205003,8442
sigma,0.6,10.0,1.0,0.005,0.7,5.129051543151242e-06,1.0409427564777374,6.510940708674324,6.777516568550564,72.86561922000801,69.99964096639198,13.999928193278409,0.02741590586112421,5.483181172224775,0.48947472863569186,8442
sigma,0.6,0.001,10.0,0.005,0.7,0.0861049470389218,1.6110794032741287,5.4678890960427955,8.809203502021742,103.06502476061763,63.97265370729893,12.79453074145979,0.0014558709893578768,2.91174197871414,4.292271408836712,8442
sigma,0.6,0.0014677992676220691,10.0,0.005,0.7,0.08583367001248143,1.6097689450498909,5.507853649826224,8.866371759369951,103.01175980370166,63.991643099133746,12.79832861982674,0.0015412136058924344,3.082427211785303,4.117702954782064,8442
sigma,0.6,0.0021544346900318843,10.0,0.005,0.7,0.08543722173910795,1.6078517274667865,5.561930966523977,8.94276031257659,102.93369400323391,64.01939447825124,12.803878895650247,0.0016563510126498388,3.312702025301264,3.8817627280358398,8442
sigma,0.6,0.0031622776601683794,10.0,0.005,0.7,0.08485916841498697,1.6050523339859701,5.632632501872928,9.040669943616377,102.81942493631362,64.05985821096122,12.811971642192201,0.0018061871943109286,3.6123743886207933,3.5738477819926944,8442
sigma,0.6,0.004641588833612777,10.0,0.005,0.7,0.0840192905375573,1.6009779661486891,5.720862405028468,9.158974657818975,102.65254532867252,64.11864966237691,12.8237299324754,0.001991789350621694,3.9835787012443946,3.1906995769295836,8442
sigma,0.6,0.006812920690579608,10.0,0.005,0.7,0.08280558982617692,1.5950784514010423,5.824476085295218,9.290496294355101,102.40979275895573,64.20360871216319,12.840721742432581,0.0022071025457039133,4.414205091406821,2.742866063614894,8442
sigma,0.6,0.01,10.0,0.005,0.7,0.0810659671825158,1.5866044520940301,5.937376911594327,9.420268641695861,102.05893793543072,64.32538229722691,12.865076459445316,0.0024368522631042825,4.8737045262079315,2.2587821620836483,8442
sigma,0.6,0.01467799267622069,10.0,0.005,0.7,0.07860240274308761,1.5745772612309132,6.050401239610199,9.52682421321355,101.55681936354439,64.49783180798201,12.899566361596348,0.0026584365303355104,5.31687306067047,1.7809021412028472,8442
sigma,0.6,0.021544346900318832,10.0,0.005,0.7,0.0751734294234373,1.5577958826188396,6.1544124629972075,9.58731839479512,100.84837166464929,64.73785994036088,12.947571988072237,0.0028488067905752677,5.69761358115098,1.3519656239862072,8442
sigma,0.6,0.03162277660168379,10.0,0.005,0.7,0.07051484323913593,1.5349227106316368,6.243830871332506,9.583797805751184,99.86815134150726,65.06396097326,13.012792194652018,0.002992526490498732,5.985052980997844,0.9991622978596387,8442
sigma,0.6,0.046415888336127774,10.0,0.005,0.7,0.06439223003457739,1.5047003127196503,6.317839689705792,9.506455356812925,98.54665128349349,65.49254389757962,13.098508779515894,0.0030850542583899386,6.170108516779869,0.7282976494458472,8442
sigma,0.6,0.06812920690579612,10.0,0.005,0.7,0.056695891224410766,1.466332711509911,6.378759487480685,9.353383695347123,96.82383701195386,66.03128761429082,13.206257522858149,0.003130250439908433,6.2605008798166635,0.5301113468852794,8442
sigma,0.6,0.1,10.0,0.005,0.7,0.04756850083357678,1.4199776163177211,6.429610276696358,9.129902674555217,94.670198692458,66.67020494164991,13.334040988329939,0.0031364662511369342,6.2729325022739015,0.38989004314502285,8442
sigma,0.6,0.1467799267622069,10.0,0.005,0.7,0.03751367410441431,1.3671475962834447,6.472543929673218,8.848922875291741,92.11026068326842,67.37404281269102,13.474808562538154,0.00311433781406545,6.228675628130894,0.29340147151688645,8442
sigma,0.6,0.21544346900318823,10.0,0.005,0.7,0.027392760477414235,1.3107264963928584,6.508384127018619,8.530711523986007,89.23754555980364,68.08250676658088,13.616501353316194,0.003075729948518389,6.151459897036869,0.2289630196984192,8442
sigma,0.6,0.31622776601683794,10.0,0.005,0.7,0.018235239446508622,1.2544469332317902,6.536973126553157,8.200285891223235,86.21002551219584,68.72353323874434,13.74470664774888,0.003032293914717271,6.064587829434535,0.18767322890186866,8442
sigma,0.6,0.46415888336127775,10.0,0.005,0.7,0.010901655463947169,1.2020247553390582,6.557960726668986,7.88283113799744,83.22444869180521,69.23688411752374,13.847376823504746,0.002993285487459658,5.986570974919308,0.16305891608848613,8442
sigma,0.6,0.6812920690579608,10.0,0.005,0.7,0.005776766907549469,1.1563720903728918,6.571556100565785,7.599164065013986,80.47843988438882,69.59562631647152,13.919125263294356,0.0029636530086134642,5.927306017226957,0.15060506647007288,8442
sigma,0.6,1.0,10.0,0.005,0.7,0.002688864363142085,1.119165200308813,6.5787989469435075,7.362762841247439,78.13091418196638,69.81177949458005,13.962355898915963,0.002943697370276386,5.887394740552725,0.1473056631610356,8442
sigma,0.6,1.467799267622069,10.0,0.005,0.7,0.0010974579911808835,1.0907627977624157,6.581256373171752,7.178589614392549,76.26960119894702,69.92317794061735,13.984635588123446,0.002930588599675945,5.861177199351887,0.15125662392499156,8442
sigma,0.6,2.154434690031882,10.0,0.005,0.7,0.00039651502492088486,1.070392526535083,6.580472432719405,7.043688513052988,74.8977669871024,69.97224394825551,13.994448789651049,0.0029206816384381813,5.841363276876354,0.1612672518341589,8442
sigma,0.6,3.1622776601683795,10.0,0.005,0.7,0.00012995336782961608,1.0565586933763003,6.577604154845673,6.9496248513902685,73.94949730110503,69.99090326425191,13.99818065285028,0.0029112222982325235,5.822444596464954,0.17646352838653354,8442
