burst_name,delta,sigma,K,rho,P_block_arrival,E_W,Cost,ERP
medium,0.6,0.1,100,0.1,1.3526849430567367e-06,1.270329551056824,1.4394622485910695,1.8285914320159398
medium,0.6,0.1,100,0.16071428571428573,4.768181418746131e-05,1.1832370651507698,2.1320390328228496,2.522707607984194
medium,0.6,0.1,100,0.22142857142857142,0.0003914392075871076,1.1429793432113844,2.8034719623787936,3.2043105422712443
medium,0.6,0.1,100,0.28214285714285714,0.0016874251875612645,1.1192835395412895,3.449407410303147,3.860864935524059
medium,0.6,0.1,100,0.34285714285714286,0.0052531826197228515,1.103133414088033,4.0544710046593355,4.472622441690789
medium,0.6,0.1,100,0.4035714285714286,0.013532095772732844,1.0909086382245325,4.593176118328615,5.010735504371314
medium,0.6,0.1,100,0.4642857142857143,0.029806977333620366,1.0810571610863418,5.0381138785946975,5.446489086823282
medium,0.6,0.1,100,0.525,0.0558236372531169,1.0730160402474818,5.379292164990314,5.77206677821221
medium,0.6,0.1,100,0.5857142857142857,0.08974745942988693,1.066508803473288,5.630945092153412,6.005452512656318
medium,0.6,0.1,100,0.6464285714285714,0.12769942439169557,1.061228087078195,5.817512396129483,6.173707551698177
medium,0.6,0.1,100,0.7071428571428571,0.16627441547356547,1.0568643998342324,5.960380656058485,6.299314124848819
medium,0.6,0.1,100,0.7678571428571428,0.2034072303286053,1.053171250649861,6.074401921975247,6.39738546911659
medium,0.6,0.1,100,0.8285714285714285,0.23812232995947125,1.049973903758931,6.169122790874605,6.477417939502801
medium,0.6,0.1,100,0.8892857142857142,0.2700947981961491,1.047152578454636,6.250602119084628,6.54533412589348
medium,0.6,0.1,100,0.95,0.29933485823316164,1.04462459085875,6.322736682399961,6.60488621995967
medium,0.6,0.1,200,0.1,3.04867242562068e-13,1.2703316415560435,1.4394787196829735,1.8286153649598635
medium,0.6,0.1,200,0.16071428571428573,6.590005208195748e-10,1.1833021002767243,2.1327228649114476,2.5236554453579085
medium,0.6,0.1,200,0.22142857142857142,5.7465286307234464e-08,1.143467802086505,2.8091600668656613,3.2121840873680574
medium,0.6,0.1,200,0.28214285714285714,1.1765886953618576e-06,1.1212637490436927,3.47238373711611,3.8934580071971583
medium,0.6,0.1,200,0.34285714285714286,1.1093493087144246e-05,1.1089733473310779,4.118139465964069,4.566906908346391
medium,0.6,0.1,200,0.4035714285714286,6.742967039274905e-05,1.1053958045211003,4.732887907319937,5.231714436020109
medium,0.6,0.1,200,0.4642857142857143,0.00033026789645107524,1.1143465569792355,5.287912890668891,5.892567523322995
medium,0.6,0.1,200,0.525,0.0015532691315264247,1.1492560089036994,5.739535977752455,6.596196210750978
medium,0.6,0.1,200,0.5857142857142857,0.007409713305219556,1.2384202888604958,6.061241268288971,7.506364162327586
medium,0.6,0.1,200,0.6464285714285714,0.02829182057472801,1.381407753220517,6.267405552154008,8.657842622322862
medium,0.6,0.1,200,0.7071428571428571,0.06702556438593654,1.499664320354286,6.391923441043248,9.585739522968753
medium,0.6,0.1,200,0.7678571428571428,0.1116142991294965,1.566613668156122,6.475667736760487,10.1448695868466
medium,0.6,0.1,200,0.8285714285714285,0.15472899885235347,1.60299789953864,6.541356820596143,10.485781243548374
medium,0.6,0.1,200,0.8892857142857142,0.19436231861527598,1.623530905249049,6.597878835982611,10.71186019930639
medium,0.6,0.1,200,0.95,0.23025472691175042,1.6353049301490528,6.649037602768608,10.873203972553943
medium,0.6,0.1,500,0.1,1.7763568394002505e-15,1.270331641557669,1.4394787196853862,1.8286153649652686
medium,0.6,0.1,500,0.16071428571428573,1.9984014443252818e-15,1.1833021037452547,2.132722871419233,2.523655460455999
medium,0.6,0.1,500,0.22142857142857142,7.771561172376096e-16,1.1434681103308195,2.8091606550343,3.2121856258277584
medium,0.6,0.1,500,0.28214285714285714,3.574918139293004e-14,1.121270278436833,3.472394911183721,3.8934932089056122
medium,0.6,0.1,500,0.34285714285714286,9.173106718662893e-12,1.1090380638512403,4.1182296876803814,4.5672734793197485
medium,0.6,0.1,500,0.4035714285714286,7.444984628790507e-10,1.1058170428652083,4.733327588237658,5.234194316537275
medium,0.6,0.1,500,0.4642857142857143,3.182774066523564e-08,1.1166131273182012,5.289529089963824,5.906357619185104
medium,0.6,0.1,500,0.525,1.0407209241058979e-06,1.1614798540612277,5.744935944347613,6.672627362231967
medium,0.6,0.1,500,0.5857142857142857,3.504291288392025e-05,1.310420835034479,6.080682149978159,7.968252580553631
medium,0.6,0.1,500,0.6464285714285714,0.0012947819359852009,1.7265158510605605,6.333123087696708,10.934237397625967
medium,0.6,0.1,500,0.7071428571428571,0.013770939391997361,2.3052697035439436,6.526003977726127,15.044199255059306
medium,0.6,0.1,500,0.7678571428571428,0.04241489697895284,2.729807921637067,6.660770810027259,18.182624921421358
medium,0.6,0.1,500,0.8285714285714285,0.07869364130624656,3.0004365645158115,6.7581871380909675,20.277511798968607
medium,0.6,0.1,500,0.8892857142857142,0.11649983542838138,3.1782024617442635,6.834189126161638,21.720436704792796
medium,0.6,0.1,500,0.95,0.15317042415838744,3.3010667843750605,6.897293911711183,22.76842783402212
medium,0.6,0.1,1000,0.1,3.219646771412954e-15,1.2703316415577581,1.4394787196853844,1.8286153649653945
medium,0.6,0.1,1000,0.16071428571428573,9.547918011776346e-15,1.183302103745554,2.13272287141922,2.523655460456622
medium,0.6,0.1,1000,0.22142857142857142,8.326672684688674e-15,1.1434681103310014,2.8091606550342867,3.212185625828254
medium,0.6,0.1,1000,0.28214285714285714,6.8833827526759706e-15,1.121270278437434,3.4723949111838683,3.893493208907865
medium,0.6,0.1,1000,0.34285714285714286,-9.103828801926284e-15,1.1090380639707433,4.11822968772437,4.567273479860675
medium,0.6,0.1,1000,0.4035714285714286,-3.9968028886505635e-15,1.1058170532386364,4.733327591206441,5.23419436892104
medium,0.6,0.1,1000,0.4642857142857143,1.687538997430238e-14,1.1166136086037786,5.28952919206374,5.906360278965322
medium,0.6,0.1,1000,0.525,1.0537792860532136e-11,1.1614972268631214,5.7449386914429645,6.672730358609653
medium,0.6,0.1,1000,0.5857142857142857,5.1365598441321936e-09,1.3110776811712097,6.080763942282951,7.972353889197835
medium,0.6,0.1,1000,0.6464285714285714,5.1057484132810416e-06,1.7543000672725921,6.336019460845617,11.11527936640192
medium,0.6,0.1,1000,0.7071428571428571,0.0010041613570063168,2.6300682904989343,6.5560727717908645,17.242919107290607
medium,0.6,0.1,1000,0.7678571428571428,0.00993930109248975,3.675054043699829,6.742512234708089,24.77909685285953
medium,0.6,0.1,1000,0.8285714285714285,0.03100141831618053,4.561098174161023,6.886482387080783,31.4099222421062
medium,0.6,0.1,1000,0.8892857142857142,0.060416500406841434,5.230366699748197,6.994990626276008,36.58636603672482
medium,0.6,0.1,1000,0.95,0.09366592605050639,5.730962603984055,7.078554536749311,40.56693134037198
