burst_name,delta,sigma,K,rho,P_block_arrival,E_W,Cost,ERP
strong,0.9,0.01,100,0.1,6.240473791530032e-05,1.2773770484487874,1.5082066336635158,1.9265485381599834
strong,0.9,0.01,100,0.16071428571428573,0.0008558062262270516,1.1898898633189574,2.233993571180008,2.6582063050668094
strong,0.9,0.01,100,0.22142857142857142,0.0030834516039395243,1.1488651116806006,2.9203697931563606,3.3551109685632348
strong,0.9,0.01,100,0.28214285714285714,0.008140336597319386,1.1243024834925177,3.558104718683712,4.000385971742543
strong,0.9,0.01,100,0.34285714285714286,0.02058426143192893,1.107139102825089,4.1081921651895446,4.548340188001012
strong,0.9,0.01,100,0.4035714285714286,0.04811418774485954,1.0942490306398336,4.522570994732626,4.948818926986004
strong,0.9,0.01,100,0.4642857142857143,0.09333562796460859,1.0848192954730524,4.796902028723628,5.203771879253222
strong,0.9,0.01,100,0.525,0.14902660112087074,1.0781223381231488,4.969922157257077,5.358184096472044
strong,0.9,0.01,100,0.5857142857142857,0.20642797311291472,1.0732575788403165,5.081549568251839,5.453811586379024
strong,0.9,0.01,100,0.6464285714285714,0.2605835152457915,1.0695573744581552,5.1578602486529554,5.516627465371343
strong,0.9,0.01,100,0.7071428571428571,0.3096908282507561,1.0666167162251337,5.213713650911171,5.561034133673026
strong,0.9,0.01,100,0.7678571428571428,0.3535098118327551,1.0641942774072775,5.257266182769071,5.594752586509648
strong,0.9,0.01,100,0.8285714285714285,0.3924163365089408,1.0621412283457685,5.293061328663458,5.621978661336091
strong,0.9,0.01,100,0.8892857142857142,0.4269716468121998,1.0603616710948411,5.323728663406249,5.645077821984955
strong,0.9,0.01,100,0.95,0.4577478050127496,1.058791172100629,5.350860545565248,5.66544390878604
strong,0.9,0.01,200,0.1,1.369034108300582e-09,1.2774984753257599,1.508960365165491,1.9276945658259166
strong,0.9,0.01,200,0.16071428571428573,2.5615537359025e-06,1.1919373504838655,2.245506194004084,2.676502703376337
strong,0.9,0.01,200,0.22142857142857142,8.925356892131031e-05,1.1573193552582075,2.9584730185317225,3.423898086355936
strong,0.9,0.01,200,0.28214285714285714,0.0006202768134639935,1.1447336320936432,3.641311008360656,4.16833117618326
strong,0.9,0.01,200,0.34285714285714286,0.0020592751097272544,1.1466217453974523,4.272384931635373,4.898809467321526
strong,0.9,0.01,200,0.4035714285714286,0.005027119292901894,1.1695930664836847,4.794135384985765,5.607187506063441
strong,0.9,0.01,200,0.4642857142857143,0.012085755696682687,1.2577375712774896,5.133512474383906,6.456611511654311
strong,0.9,0.01,200,0.525,0.04129209929250288,1.5229426862186684,5.3128775909783466,8.091208069955531
strong,0.9,0.01,200,0.5857142857142857,0.11438388158267354,1.779051398937963,5.372507869579224,9.557967641180134
