burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
medium,0.6,0.1,0.1,0.005,0.7,0,5.0,0.09878031620963446,1.6426605921639406,6.097072617403934,10.015420916171292,103.62786416114213,63.08537786532586,12.617075573065167,1.0287909833142757,4.284357809530613,2.069775634089945,92862
medium,0.6,0.1,0.1,0.005,0.7,1,5.0,0.09878031620963568,1.6426605921639426,6.097072617403926,10.015420916171292,103.62786416114211,63.085377865325775,12.61707557306514,1.0287909833142843,4.284357809530608,2.069775634089968,92862
medium,0.6,0.1,0.1,0.005,0.7,3,5.0,0.09878031620963068,1.6426605921639297,6.09707261740396,10.01542091617127,103.62786416114187,63.08537786532612,12.617075573065218,1.0287909833142856,4.284357809530624,2.069775634089872,92862
medium,0.6,0.1,0.1,0.005,0.7,4,5.0,0.09878031620859606,1.6426605921602568,6.097072617410908,10.01542091616029,103.62786416102912,63.08537786539854,12.617075573079687,1.0287909833154076,4.284357809535436,2.0697756340694697,92862
medium,0.6,0.1,0.1,0.005,0.7,6,5.0,0.09878031168220347,1.642660576210037,6.097072649696274,10.015420871944539,103.62786367527636,63.085378182246025,12.617075636449181,1.0287909895979928,4.284357836565143,2.0697755373876827,92862
medium,0.6,0.1,0.1,0.005,0.7,7,5.0,0.09878023556535187,1.6426603097744772,6.097073213371984,10.01542017339529,103.62785561947747,63.085383510425636,12.617076702085091,1.0287911105519731,4.284358357610782,2.0697738297521537,92862
medium,0.6,0.1,0.1,0.005,0.7,9,5.0,0.09877711983667259,1.642649482163858,6.097097734415869,10.015394436140658,103.62753081901617,63.08560161143319,12.61712032228661,1.028797119503605,4.284384340707768,2.069698217502017,92862
medium,0.6,0.1,0.1,0.005,0.7,10,5.0,0.09876976715302321,1.6426239282679793,6.09715759289147,10.015336956504324,103.6267641747081,63.08611629928864,12.617223259857704,1.0288127324472625,4.284452100752915,2.069511906942118,92862
medium,0.6,0.1,0.1,0.005,0.7,11,5.0,0.09875280151009391,1.6425647634239013,6.097299374462131,10.015209104538092,103.62498239618229,63.0873038942937,12.617460778858742,1.0288513464793396,4.284620376870752,2.069067497791166,92862
medium,0.6,0.1,0.1,0.005,0.7,13,5.0,0.0986590221840874,1.6422336473068095,6.09811606253618,10.014531383079031,103.6148737026003,63.093868447114154,12.618773689422834,1.0290875624094362,4.285658763197878,2.0664799849698516,92862
medium,0.6,0.1,0.1,0.005,0.7,14,5.0,0.09856002853585044,1.6418785363349775,6.099007478798605,10.013829472385934,103.60384586589856,63.10079800249074,12.620159600498118,1.0293567212078576,4.286851836815751,2.063631841478273,92862
medium,0.6,0.1,0.1,0.005,0.7,16,5.0,0.09818381736197701,1.640492651830256,6.102532307996295,10.011159408824655,103.55959746435067,63.12713278466188,12.625426556932409,1.0304699094671845,4.291843336344911,2.052260197255496,92862
medium,0.6,0.1,0.1,0.005,0.7,17,5.0,0.09787238795060471,1.639312176092502,6.105556374707647,10.008912906877441,103.52081451752831,63.14893284345794,12.629786568691596,1.0314599125249246,4.296331909054822,2.042421609728657,92862
medium,0.6,0.1,0.1,0.005,0.7,19,5.0,0.09692170570315117,1.6355734781470186,6.115177925763268,10.001822829528498,103.39356347895261,63.215480600779685,12.64309612015598,1.0347276752962353,4.31135403988308,2.010822164664706,92862
medium,0.6,0.1,0.1,0.005,0.7,20,5.0,0.09625969335647178,1.6328789972347133,6.122137300075582,9.996709415480652,103.29889959708781,63.26182146504725,12.652364293009498,1.0371637773150988,4.322696846441033,1.9877750832343697,92862
medium,0.6,0.1,1.0,0.005,0.7,0,5.0,0.05131636001477613,1.4529749059120105,6.172257715791242,8.968135573866462,96.48894657834602,66.40785479896596,13.281570959793175,0.11967595169955068,5.025342225686685,1.57341086282059,92862
medium,0.6,0.1,1.0,0.005,0.7,1,5.0,0.05131636001477613,1.4529749059120103,6.172257715791243,8.96813557386646,96.488946578346,66.40785479896596,13.281570959793177,0.11967595169955127,5.025342225686683,1.5734108628205892,92862
