burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,0.1,0.005,0.7,0,5.0,0.26789729197516354,1.9724787889469435,4.692124621735232,9.255116291468445,101.08399440367154,51.24718956173806,10.249437912347602,0.654947946907428,2.6255546676796917,6.4700594730652785,92862
strong,0.9,0.01,0.1,0.005,0.7,1,5.0,0.2678972918832465,1.9724787886614645,4.692124622271112,9.255116291185955,101.08399440173285,51.24718956817225,10.249437913634434,0.6549479469477627,2.6255546678432253,6.470059471574578,92862
strong,0.9,0.01,0.1,0.005,0.7,3,5.0,0.26789479908689473,1.9724710508851553,4.692139502515619,9.255109335426733,101.08394205024828,51.24736406391688,10.249472812783367,0.6549492972909136,2.625560214062328,6.470017675863391,92862
strong,0.9,0.01,0.1,0.005,0.7,4,5.0,0.267885412041194,1.9724419121181647,4.692196024270162,9.255084098144689,101.08374484341391,51.248021157115936,10.249604231423177,0.6549547531867523,2.6255826428556515,6.46985837253442,92862
strong,0.9,0.01,0.1,0.005,0.7,6,5.0,0.26784205365311253,1.9723073183547997,4.692459295638587,9.254971809869993,101.08283330401012,51.251056244281635,10.250211248856322,0.6549817007519859,2.6256930796179567,6.469113970773735,92862
strong,0.9,0.01,0.1,0.005,0.7,7,5.0,0.2678066899983096,1.9721975615028602,4.692675571421355,9.254883318881237,101.08209023738195,51.25353170011784,10.25070634002356,0.6550048833390534,2.625788010273062,6.468500766364324,92862
strong,0.9,0.01,0.1,0.005,0.7,9,5.0,0.26770508141762017,1.9718822801440883,4.693302001697147,9.254639052511385,101.07995616544972,51.260644300766096,10.252128860153215,0.6550753090943113,2.626076644783689,6.466719185968785,92862
strong,0.9,0.01,0.1,0.005,0.7,10,5.0,0.2676376352202854,1.9716730401002887,4.693720899400423,9.254482955103095,101.07853911541699,51.26536553457953,10.253073106915904,0.6551243768445231,2.626278035428206,6.465524480811368,92862
strong,0.9,0.01,0.1,0.005,0.7,11,5.0,0.2675583967342964,1.9714272339945218,4.694215492365824,9.25430426388899,101.07687267920237,51.27091222859877,10.25418244571975,0.6551838554657498,2.6265224677114962,6.464111231103006,92862
strong,0.9,0.01,0.1,0.005,0.7,13,5.0,0.2673627624897442,1.9708203426380588,4.695445620957411,9.253879747533658,101.07274600215446,51.284606625717416,10.256921325143479,0.6553373741332685,2.6271547919363583,6.460586508786895,92862
strong,0.9,0.01,0.1,0.005,0.7,14,5.0,0.26724558600584325,1.9704567779994044,4.6961874091429,9.25363431110109,101.07026311646278,51.29280897959048,10.25856179591811,0.6554329899263981,2.6275495574280643,6.458455656727427,92862
strong,0.9,0.01,0.1,0.005,0.7,16,5.0,0.2669708395321292,1.9696039641931269,4.6979383211891435,9.253077940948941,101.0643998228665,51.31204123275047,10.26240824655011,0.6556656127607313,2.628512649455878,6.453413491233279,92862
strong,0.9,0.01,0.1,0.005,0.7,17,5.0,0.2668126984758782,1.9691127918054514,4.698952373517368,9.252767226777637,101.06099459543185,51.32311110668804,10.264622221337614,0.6558039902234231,2.629087214278462,6.4504865741605,92862
strong,0.9,0.01,0.1,0.005,0.7,19,5.0,0.2664537075793426,1.9679967583072637,4.701268366370854,9.252080904950327,101.05317078865065,51.34824046944553,10.26964809388913,0.6561280337097497,2.630437159406657,6.443786712994463,92862
strong,0.9,0.01,0.1,0.005,0.7,20,5.0,0.2662525238020208,1.9673706122009653,4.702573686901125,9.251705273318818,101.04872550139625,51.36232333385806,10.272464666771613,0.6563148098096265,2.631217880809755,6.440002642609004,92862
strong,0.9,0.01,1.0,0.005,0.7,0,5.0,0.23046965032722355,1.8587234279788312,4.720238885240959,8.773618601654052,100.12408626342626,53.86712447709384,10.773424895418756,0.07108914303692514,2.8499676271006975,6.3055183344436205,92862
strong,0.9,0.01,1.0,0.005,0.7,1,5.0,0.2304696502958531,1.8587234278347717,4.720238885400666,8.773618601270908,100.12408625974783,53.86712447928977,10.773424895857937,0.07108914303618023,2.8499676270779237,6.305518334027958,92862
strong,0.9,0.01,1.0,0.005,0.7,3,5.0,0.23046860502214916,1.858718569658238,4.720244512029263,8.773606127836178,100.1239605646228,53.86719764844904,10.773439529689792,0.07108913980045059,2.849968184807354,6.305503145702403,92862
