burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
weak,0.3,1.0,0.1,0.005,0.7,0,5.0,0.0008171136066587037,1.130373371411761,6.251675703815937,7.066727742295414,79.0614809564563,69.94280204753389,13.988560409506775,0.6090487941950812,3.3834538867675303,2.018936909530614,92862
weak,0.3,1.0,0.1,0.005,0.7,1,5.0,0.0008171136066589257,1.1303733714117596,6.2516757038159385,7.066727742295408,79.0614809564562,69.94280204753387,13.988560409506777,0.6090487941950713,3.3834538867675508,2.0189369095306016,92862
weak,0.3,1.0,0.1,0.005,0.7,3,5.0,0.000817113606660369,1.1303733714117614,6.251675703815943,7.0667277422954236,79.06148095645621,69.94280204753377,13.98856040950679,0.6090487941950711,3.3834538867675477,2.0189369095305905,92862
weak,0.3,1.0,0.1,0.005,0.7,4,5.0,0.0008171136066599249,1.130373371411761,6.2516757038159465,7.066727742295425,79.06148095645621,69.9428020475338,13.988560409506798,0.6090487941950716,3.383453886767551,2.018936909530579,92862
weak,0.3,1.0,0.1,0.005,0.7,6,5.0,0.0008171136066597029,1.1303733714117616,6.251675703815948,7.0667277422954315,79.06148095645626,69.94280204753382,13.988560409506798,0.6090487941950635,3.3834538867675685,2.0189369095305705,92862
weak,0.3,1.0,0.1,0.005,0.7,7,5.0,0.0008171136066583706,1.1303733714117579,6.251675703815946,7.066727742295405,79.06148095645611,69.94280204753392,13.988560409506798,0.6090487941950768,3.38345388676754,2.0189369095305847,92862
weak,0.3,1.0,0.1,0.005,0.7,9,5.0,0.0008171136050133532,1.1303733713966138,6.251675703827678,7.06672774221399,79.06148095552706,69.94280204764907,13.988560409529809,0.6090487941970305,3.3834538867779353,2.0189369094952254,92862
weak,0.3,1.0,0.1,0.005,0.7,10,5.0,0.000817113555645177,1.13037337084679,6.251675704220906,7.066727739221165,79.06148092097715,69.94280205110483,13.988560410220977,0.6090487942820626,3.383453887227396,2.0189369082695645,92862
weak,0.3,1.0,0.1,0.005,0.7,11,5.0,0.000817112584645896,1.1303733575860093,6.251675713632997,7.066727666958242,79.06148007031241,69.94280211907478,13.988560423814933,0.6090487970239719,3.3834539017234304,2.018936877437665,92862
weak,0.3,1.0,0.1,0.005,0.7,13,5.0,0.0008169902420620545,1.1303707741829645,6.2516781182913075,7.066714234515644,79.06130906033815,69.94281068305565,13.988562136611124,0.6090498935272133,3.3834598790711183,2.018928090790544,92862
weak,0.3,1.0,0.1,0.005,0.7,14,5.0,0.0008163239459187954,1.1303523674211575,6.25170084395795,7.066624849376717,79.0600743601414,69.94285732378569,13.98857146475714,0.6090616484171556,3.383525480374308,2.018841406451397,92862
weak,0.3,1.0,0.1,0.005,0.7,16,5.0,0.0008041899968213029,1.1298368495497078,6.252802596709449,7.064646786722435,79.02497722400818,69.9437067002225,13.98874134004452,0.609677085113272,3.3871005426646046,2.014481032177603,92862
weak,0.3,1.0,0.1,0.005,0.7,17,5.0,0.0007818098770260296,1.1286077948402053,6.256451269062631,7.0610796703019805,78.94078066832375,69.94527330860818,13.989054661721653,0.6117363444979305,3.3993202942718215,1.9998886995085954,92862
weak,0.3,1.0,0.1,0.005,0.7,19,5.0,0.0006752927831406019,1.1211115080442462,6.288477569170003,7.050084570874597,78.42481006736377,69.95272950518016,13.990545901036073,0.6297650578053419,3.5087551415182023,1.8709338996403826,92862
weak,0.3,1.0,0.1,0.005,0.7,20,5.0,0.0005930333485864026,1.114362064926527,6.324467157039944,7.047746280679033,77.9590847741738,69.95848766559895,13.991697533119886,0.6499436717717643,3.632741532460863,1.7256172626474866,92862
weak,0.3,1.0,1.0,0.005,0.7,0,5.0,3.664353892041117e-05,1.055272797005599,6.390210097795755,6.743414883354349,73.86638896530532,69.99743495227557,13.999486990455118,0.08488262782856144,4.852956756181433,1.062673625534888,92862
weak,0.3,1.0,1.0,0.005,0.7,1,5.0,3.6643538920855256e-05,1.0552727970055988,6.390210097795759,6.743414883354352,73.86638896530528,69.99743495227554,13.999486990455125,0.08488262782856086,4.852956756181436,1.0626736255348774,92862
weak,0.3,1.0,1.0,0.005,0.7,3,5.0,3.664353892141037e-05,1.0552727970056013,6.3902100977957605,6.743414883354369,73.8663889653054,69.9974349522755,13.999486990455132,0.08488262782856035,4.852956756181439,1.0626736255348685,92862
weak,0.3,1.0,1.0,0.005,0.7,4,5.0,3.66435389210773e-05,1.0552727970056004,6.390210097795761,6.743414883354364,73.86638896530536,69.99743495227553,13.999486990455132,0.08488262782856068,4.852956756181437,1.0626736255348694,92862
weak,0.3,1.0,1.0,0.005,0.7,6,5.0,3.664353892063321e-05,1.0552727970055988,6.390210097795757,6.74341488335435,73.86638896530529,69.99743495227555,13.999486990455122,0.08488262782856046,4.852956756181443,1.0626736255348757,92862
