burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
medium,0.6,0.1,0.1,0.005,0.7,10,20.0,0.15358105194656257,1.8690325577094573,5.800471638681039,10.841270342765188,110.73891999618498,59.24932636374087,11.84986527274815,2.2065824739046476,2.285265239704775,3.6582870136424264,92862
medium,0.6,0.1,0.1,0.005,0.7,10,50.0,0.18534509854647307,2.021579745450215,5.722669970751418,11.56883370276724,115.28228938171385,57.02584310174713,11.405168620349464,3.058823769328278,1.2611402737751152,4.274867336547143,92862
medium,0.6,0.1,0.1,0.005,0.7,10,100.0,0.20270461925877414,2.120352082776956,5.736514547503498,12.163430568679349,118.33828448001782,55.81067665188605,11.162135330377236,3.6455709409666097,0.7496548735023104,4.442638855153844,92862
medium,0.6,0.1,0.1,0.005,0.7,10,500.0,0.22417116146254867,2.271084457469273,5.856059009204059,13.299604597826248,123.33809718011958,54.308018697621826,10.861603739524364,4.600110975305308,0.1895646520311307,4.348720633139196,92862
medium,0.6,0.1,0.1,0.005,0.7,10,1000.0,0.22811168780292268,2.304730115298049,5.899412912804732,13.59655460271925,124.52959671370358,54.03218185379564,10.806436370759146,4.824199286237476,0.10021152936833037,4.269152813635048,92862
medium,0.6,0.1,1.0,0.005,0.7,10,20.0,0.055876284071315285,1.494163091002304,5.779187995669613,8.635049399093118,98.74723667764135,66.08866011500821,13.217732023001659,0.29522277173807693,3.096739418512362,3.390305786747902,92862
medium,0.6,0.1,1.0,0.005,0.7,10,50.0,0.058794595082738765,1.5231343720642299,5.550045431504662,8.453464963242801,100.35076123814827,65.88437834420857,13.176875668841726,0.4512002400781992,1.889114009916082,4.4828100811639935,92862
medium,0.6,0.1,1.0,0.005,0.7,10,100.0,0.06049451952282592,1.5425475109644522,5.435248206799326,8.384128592872303,101.44622883132729,65.76538363340246,13.153076726680508,0.5772825643205065,1.20976169197282,5.059879017026166,92862
medium,0.6,0.1,1.0,0.005,0.7,10,500.0,0.06281278067015639,1.576512284009935,5.333203740520665,8.407861210058563,103.42410145834326,65.60310535308933,13.120621070617869,0.8456190475197806,0.36427815709732897,5.669481724765022,92862
medium,0.6,0.1,1.0,0.005,0.7,10,1000.0,0.0633110714191496,1.5864327346291711,5.329658828454073,8.455145229864899,104.01957849257752,65.56822500065981,13.113645000131976,0.9362273305345244,0.20917703765307757,5.7409506316804215,92862
medium,0.6,0.1,10.0,0.005,0.7,10,20.0,0.047928103310382664,1.4250567630053175,5.768760841260236,8.220811650998144,94.97295466713913,66.6450327682735,13.329006553654711,0.031024451271856032,3.305390286841258,3.334578708232175,92862
medium,0.6,0.1,10.0,0.005,0.7,10,50.0,0.048030311796265046,1.4271327178667295,5.510382342750011,7.86404692929366,95.10109619170615,66.63787817426173,13.327575634852353,0.049421557816938536,2.1317576211953284,4.49124518613538,92862
medium,0.6,0.1,10.0,0.005,0.7,10,100.0,0.04808400751320485,1.428699171219066,5.363997483913796,7.663538759688795,95.20011126752452,66.63411947407594,13.326823894815217,0.06621968322493935,1.4561100743047406,5.150846347655103,92862
medium,0.6,0.1,10.0,0.005,0.7,10,500.0,0.04816300884316027,1.432737450917196,5.180647156324522,7.422507200853815,95.4612753079125,66.62858938097907,13.325717876195837,0.11422561653549948,0.5651772342828234,5.99487927298584,92862
medium,0.6,0.1,10.0,0.005,0.7,10,1000.0,0.04818711708620005,1.434707056535539,5.14815119472231,7.386088847179964,95.59008617325085,66.62690180396628,13.325380360793288,0.13836304661350154,0.3814606645987619,6.154795927994449,92862
