burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
weak,0.3,1.0,0.1,0.005,0.7,10,20.0,0.003569086995855786,1.254190019271282,6.245951360955841,7.833609857764697,87.47995941882182,69.7501639102901,13.950032782057983,1.4235248851068079,2.0648312377219686,2.5616110951132405,92862
weak,0.3,1.0,0.1,0.005,0.7,10,26.447523,0.004708873016211368,1.2909708315554858,6.268954894118966,8.093037912644593,89.94242696894406,69.6703788888652,13.934075777772987,1.6523293316575887,1.812056940419077,2.6015379501503473,92862
weak,0.3,1.0,0.1,0.005,0.7,10,34.973572,0.006125230760809175,1.3314909513788598,6.300121358502951,8.388554581435368,92.63346834320144,69.57123384674335,13.91424676934864,1.8986006667011883,1.5728096330342805,2.6143429309158908,92862
weak,0.3,1.0,0.1,0.005,0.7,10,46.248217,0.007837521908904743,1.3752169711583533,6.338467907746546,8.71676863787563,95.51070746121815,69.45137346637667,13.890274693275323,2.1581505821202875,1.350164781386001,2.601409943218388,92862
weak,0.3,1.0,0.1,0.005,0.7,10,61.157538,0.009846815898567174,1.4213792392086222,6.382576439834344,9.072061644242616,98.51682256626626,69.3107228871003,13.86214457742007,2.4257962654327665,1.1464991122689798,2.565560044878184,92862
weak,0.3,1.0,0.1,0.005,0.7,10,80.873269,0.012130735157259043,1.4690058263296235,6.430724092084354,9.446771158790195,101.58299939941638,69.15084853899187,13.830169707798323,2.6956958099573365,0.963389784556722,2.5107446976876187,92862
weak,0.3,1.0,0.1,0.005,0.7,10,106.94488,0.014640988990874071,1.516985463169616,6.481049161024362,9.831657363361593,104.63427069928235,68.97513077063881,13.79502615412776,2.961779935626267,0.8015728114910549,2.4416210987549185,92862
weak,0.3,1.0,0.1,0.005,0.7,10,141.421356,0.017304990722841307,1.564153872007485,6.531726570403673,10.216625405991076,107.59603426343094,68.7886506494011,13.75773012988017,3.2182248841493237,0.6609704604361221,2.363074525534385,92862
weak,0.3,1.0,0.1,0.005,0.7,10,187.012225,0.020032218539765223,1.6093929196710504,6.581124883395675,10.591615790807966,110.40072462914944,68.59774470221643,13.719548940443302,3.459903396138011,0.5407840571654191,2.2797636062532685,92862
weak,0.3,1.0,0.1,0.005,0.7,10,247.300502,0.022724702721458767,1.6517282823997832,6.6279217348980115,10.947525783063284,112.99352737439357,68.40927080949788,13.681854161899546,3.682753178311167,0.4396362711030233,2.195756388686264,92862
weak,0.3,1.0,0.1,0.005,0.7,10,327.02428,0.025289550242764025,1.6904095507971282,6.671164732981492,11.277000579572887,115.33618974719772,68.22973148300652,13.645946296601322,3.884012561991305,0.35574055946165656,2.114300581945717,92862
weak,0.3,1.0,0.1,0.005,0.7,10,432.449101,0.027650464701086563,1.7249586302181403,6.71027732326638,11.574950779925425,117.40839057517213,68.06446747092394,13.612893494184762,4.0622932297538314,0.2870747504297603,2.0377385256316463,92862
weak,0.3,1.0,0.1,0.005,0.7,10,571.860368,0.029755410702569374,1.755178641996008,6.74501984694192,11.838714775191642,119.20668064529272,67.91712125082014,13.583424250164072,4.217488919098109,0.23153941505189052,1.9675474156859287,92862
weak,0.3,1.0,0.1,0.005,0.7,10,756.214499,0.03157893282820956,1.7811249199211716,6.775422197392954,12.067873318763654,120.74152270014315,67.78947470202533,13.557894940405069,4.350550926708476,0.1870876122648564,1.9044665206215987,92862
