burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
strong,0.9,0.01,0.1,0.005,0.7,10,1.0,0.24713781038334237,1.9029381732852073,5.411796452365836,10.29831405525641,100.28551398912272,52.70035327316553,10.540070654633087,0.29644389587763786,5.928877917552415,3.2346075319368603,92862
strong,0.9,0.01,0.1,0.005,0.7,10,2.0,0.25644168044977833,1.9322533662523853,5.079389483786213,9.814667428552875,100.57201461691083,52.04908236851502,10.409816473703001,0.44221593094227263,4.42950130453607,4.718466290818655,92862
strong,0.9,0.01,0.1,0.005,0.7,10,5.0,0.2676376352202854,1.9716730401002887,4.693720899400423,9.254482955103095,101.07853911541699,51.26536553457953,10.253073106915904,0.6551243768445231,2.626278035428206,6.465524480811368,92862
strong,0.9,0.01,0.1,0.005,0.7,10,10.0,0.2737005622258133,1.9988145133181172,4.506597003855256,9.007851496981829,101.62165000664736,50.840960644192585,10.168192128838532,0.8254278287525342,1.6544132320875538,7.35196681032138,92862
strong,0.9,0.01,0.1,0.005,0.7,10,20.0,0.27774220512409953,2.0242764709304475,4.410320871438469,8.92770876930636,102.34346220793667,50.55804564131255,10.111609128262517,1.0108740023414107,1.012862669973603,7.86465419942247,92862
strong,0.9,0.01,1.0,0.005,0.7,10,1.0,0.22862135902997593,1.848998790306351,5.445927223564301,10.069512848466816,99.83947218152025,53.996504867901166,10.79930097358022,0.030457177551593922,6.091435510318647,3.0788063385495406,92862
strong,0.9,0.01,1.0,0.005,0.7,10,2.0,0.22938338724152751,1.852820135748595,5.117644755786331,9.482075251129114,99.94697839428832,53.943162893092556,10.788632578618504,0.046197385523427496,4.62775230007025,4.537417735787819,92862
strong,0.9,0.01,1.0,0.005,0.7,10,5.0,0.23026700001339817,1.857775383369519,4.721463471593292,8.771418611004409,100.09937133995858,53.881309999061614,10.776261999812329,0.07110109664347217,2.8506476168406145,6.301989286703584,92862
strong,0.9,0.01,1.0,0.005,0.7,10,10.0,0.23074081330720753,1.861266053122698,4.508153208500343,8.390872529257862,100.22572071708399,53.84814306849496,10.769628613698996,0.09371013211764714,1.8784470222183876,7.25821423196497,92862
strong,0.9,0.01,1.0,0.005,0.7,10,20.0,0.23106237100310079,1.8648197345321473,4.368680356168663,8.146801342046253,100.3751045624434,53.825634029782435,10.765126805956482,0.12183114325712967,1.2208180684403827,7.892223982346006,92862
strong,0.9,0.01,10.0,0.005,0.7,10,1.0,0.22692803944685558,1.8409480576719341,5.448534679660434,10.03046933567905,99.62297269546522,54.115037238719594,10.823007447743908,0.003054577104185657,6.1091542083712245,3.064783766780682,92862
strong,0.9,0.01,10.0,0.005,0.7,10,2.0,0.22696343297672184,1.8412124180159801,5.123146742111598,9.432801400893986,99.6327168748582,54.11255969162895,10.822511938325782,0.004655323521690197,4.6649130051340775,4.50791973301845,92862
strong,0.9,0.01,10.0,0.005,0.7,10,5.0,0.22699546399956905,1.8415247098967895,4.731927370499902,8.713961178212509,99.64548677349578,54.11031752002965,10.822063504005936,0.007291980910699097,2.927045300640753,6.243599214442613,92862
strong,0.9,0.01,10.0,0.005,0.7,10,10.0,0.2270094242418601,1.841773321166933,4.518720035425348,8.322458007068905,99.65713939613568,54.109340303069274,10.821868060613857,0.00984498272062711,1.9779977897425796,7.190289166922936,92862
strong,0.9,0.01,10.0,0.005,0.7,10,20.0,0.22701774939367048,1.8420858927957586,4.374009417894125,8.057301043658555,99.67297894563953,54.108757542442554,10.821751508488516,0.013231408027149673,1.3310661069851413,7.833950976499193,92862
