burst_name,delta,sigma,alpha,beta,rho,n_target,gamma,P_block_arrival,E_W,Cost,ERP,E_N,lambda_eff,E_B,E_S,E_I,E_off,N_states
weak,0.3,1.0,0.1,0.005,0.7,10,1.0,0.00019671992863934396,1.0764879859974552,6.37860512266511,6.866491781970815,75.33933535503681,69.98622960499524,13.99724592099906,0.22831013950985599,4.566202790197036,1.2082411492940484,92862
weak,0.3,1.0,0.1,0.005,0.7,10,1.2385989684455543,0.0002279267881653002,1.0803309551232012,6.362509194070137,6.873615634609941,75.60593031309111,69.98404512482843,13.996809024965701,0.2560439813094381,4.449356884102041,1.2977901096228193,92862
weak,0.3,1.0,0.1,0.005,0.7,10,1.534127404634391,0.0002680582786420693,1.0849338140063995,6.3453529015470815,6.884287924692049,75.92500919610434,69.98123592049505,13.99624718409897,0.2891517398268692,4.319062246792582,1.3955388292815796,92862
weak,0.3,1.0,0.1,0.005,0.7,10,1.900168620844212,0.00031977764645763074,1.0904224727996792,6.327477978130365,6.899624183498427,76.3051646047378,69.97761556474796,13.995523112949611,0.32846713030322,4.1755063499484315,1.500503406798738,92862
weak,0.3,1.0,0.1,0.005,0.7,10,2.353546893650252,0.0003865225016665974,1.096936513109046,6.309327512785664,6.920931721938077,76.75587657246808,69.97294342488334,13.994588684976666,0.3748890147729198,4.019235452390266,1.611286847860148,92862
weak,0.3,1.0,0.1,0.005,0.7,10,2.9151007546634413,0.0004726935357141082,1.104628569182989,6.291436177667305,6.949700143042728,77.28744928792797,69.96691145250001,13.993382290500014,0.4293673653785159,3.8511390767686904,1.7261112673527799,92862
weak,0.3,1.0,0.1,0.005,0.7,10,3.6106407876409943,0.000583865152540608,1.113662834887819,6.27441323004098,6.987580825025075,77.91088241767939,69.95912943932215,13.991825887864406,0.49288241761642193,3.6724143187860094,1.842877375733162,92862
weak,0.3,1.0,0.1,0.005,0.7,10,4.47213595499958,0.0007270070627733993,1.1242124137402172,6.258919515128787,7.036355015508684,78.63765723627594,69.94910950560586,13.98982190112116,0.5664159460776161,3.4845169483261142,1.9592452044751085,92862
weak,0.3,1.0,0.1,0.005,0.7,10,5.0,0.000817113555645177,1.13037337084679,6.251675704220906,7.066727739221165,79.06148092097715,69.94280205110483,13.988560410220977,0.6090487942820626,3.383453887227396,2.0189369082695645,92862
weak,0.3,1.0,0.1,0.005,0.7,10,6.860826325815648,0.001145299877910011,1.150568159328989,6.235253067939845,7.174083645329978,80.44752896296076,69.9198290085463,13.983965801709239,0.747240064069586,3.087993539214511,2.1808005950066645,92862
weak,0.3,1.0,0.1,0.005,0.7,10,8.497812409839364,0.0014430592004941456,1.1667194534407812,6.228398598980574,7.266793809213943,81.55250657393685,69.8989858559654,13.979797171193066,0.8561217775938075,2.8830868335890423,2.2809942176240834,92862
weak,0.3,1.0,0.1,0.005,0.7,10,10.525381684870867,0.0018180730528150058,1.1850590486210195,6.22564490155287,7.3777568240865445,82.8033167289109,69.87273488630295,13.974546977260571,0.9780890020885242,2.676351694403946,2.371012326246959,92862
weak,0.3,1.0,0.1,0.005,0.7,10,13.03672689737678,0.0022860740033672222,1.2057073899073314,6.227457033205775,7.5084909652665885,84.20657375113176,69.8399748197643,13.967994963952881,1.113410675748563,2.46976851956144,2.448825840737116,92862
weak,0.3,1.0,0.1,0.005,0.7,10,16.147276486997292,0.002863968961498653,1.228743045032476,6.234167463440973,7.660189912270847,85.76567741628918,69.79952217269509,13.959904434538993,1.2620328515859018,2.265295505983187,2.512767207891918,92862
weak,0.3,1.0,0.1,0.005,0.7,10,20.000000000000004,0.003569086995856563,1.2541900192712823,6.245951360955838,7.833609857764695,87.47995941882176,69.75016391029004,13.950032782057976,1.423524885106808,2.064831237721968,2.561611095113248,92862
weak,0.3,1.0,1.0,0.005,0.7,10,1.0,2.8269464305563652e-05,1.048561392065383,6.527691448177622,6.844685231874423,73.39722248575764,69.99802113749861,13.999604227499745,0.027786783337830568,5.557356667566139,0.41525232159628533,92862
weak,0.3,1.0,1.0,0.005,0.7,10,1.2385989684455543,2.8847146269384005e-05,1.0490185688855869,6.5166591930063795,6.836096500562656,73.42918153854437,69.99798069976114,13.999596139952235,0.03155778782070035,5.502180697742396,0.46666537448466805,92862
weak,0.3,1.0,1.0,0.005,0.7,10,1.534127404634391,2.9544670435033282e-05,1.0495719935158436,6.503695801323876,6.826096967416123,73.46786889800381,69.99793187306955,13.999586374613905,0.03614914928081324,5.437079804998225,0.5271846711070562,92862
weak,0.3,1.0,1.0,0.005,0.7,10,1.900168620844212,3.038330701976566e-05,1.0502392879299085,6.488601489364876,6.814584207851511,73.51451647310255,69.99787316850862,13.999574633701732,0.04172210862292979,5.36090013735504,0.5978031203202985,92862
weak,0.3,1.0,1.0,0.005,0.7,10,2.353546893650252,3.138689431581021e-05,1.0510403692256867,6.4712025022341075,6.801495067282324,73.57051662328873,69.99780291739789,13.999560583479564,0.04846305212271546,5.272561376138638,0.6794149882590821,92862
